Name,Occurrence,CanopyCover
Abies,8,23.475
Abies alba,31,29.080645161290324
Abies nordmanniana,1,28.3
Abies pinsapo,1,63.6
Acacia,1,78.5
Acer,73,45.657534246575345
Acer buergerianum,35,9.982857142857142
Acer campestre,458,11.875764192139739
Acer monspessulanum,13,13.153846153846153
Acer negundo,178,46.40112359550562
Acer opalus,1,3.1
Acer palmatum,41,22.226829268292683
Acer platanoides,157,31.022292993630572
Acer pseudoplatanus,171,23.791812865497075
Acer rubrum,24,15.820833333333333
Acer saccharinum,89,42.19438202247191
Acer tataricum,1,3.1
Acer tataricum ssp. ginnala,6,3.1
Acer x freemanii,26,3.9538461538461545
Aesculus,1,176.7
Aesculus hippocastanum,581,40.88691910499139
Ailanthus altissima,11,48.23636363636364
Albizia julibrissin,3,76.7
Alnus,74,8.641891891891891
Alnus cordata,1,50.3
Alnus glutinosa,6,14.933333333333332
Alnus incana,10,25.71
Arbutus unedo,2,0.8
Aucuba japonica,2,21.7
Berberis thunbergii,21,21.7
Betula,103,10.333980582524273
Betula lenta,1,7.1
Betula nigra,20,17.335
Betula pendula,130,22.091538461538462
Buxus sempervirens,16,21.7
Calocedrus decurrens,1,12.6
Calycanthus,2,21.7
Carpinus betulus,536,13.54589552238806
Catalpa,1,38.5
Catalpa bignonioides,18,58.02777777777778
Cedrus,9,67.9
Cedrus atlantica,70,65.04285714285714
Cedrus deodara,246,76.58658536585365
Cedrus libani,52,97.64423076923077
Celtis australis,1028,42.336186770428014
Cercis siliquastrum,56,11.376785714285715
Chamaecyparis,3,11.333333333333334
Chamaecyparis lawsoniana,18,10.655555555555555
Clerodendrum trichotomum,25,6.951999999999999
Cornus,8,2.1
Cornus mas,2,7.1
Cornus nuttallii,1,21.7
Cornus sanguinea,2,21.7
Corylus avellana,12,0.6833333333333332
Corylus colurna,88,16.95340909090909
Corylus maxima,6,21.7
Crataegus,31,3.7
Crataegus monogyna,5,6.840000000000001
Crataegus x lavallei,11,4.154545454545455
Cupressus,399,4.4907268170426065
Cupressus arizonica,6,29.983333333333334
Cupressus lusitanica,3,30.900000000000002
Cupressus sempervirens,151,5.078145695364238
Cupressus torulosa,3,22.0
Davidia involucrata,10,18.22
Diospyros kaki,7,23.38571428571429
Diospyros lotus,7,18.657142857142855
Elaeagnus,2,21.7
Elaeagnus pungens,7,21.7
Eriobotrya japonica,3,6.1000000000000005
Eucalyptus cordata,1,3.1
Fagus,22,33.78181818181818
Fagus sylvatica,120,25.395833333333332
Ficus carica,10,18.6
Forsythia viridissima,1,21.7
Forsythia x intermedia,1,21.7
Fraxinus,69,14.288405797101449
Fraxinus americana,36,9.036111111111111
Fraxinus angustifolia,132,11.982575757575757
Fraxinus angustifolia ssp. Oxycarpa,2,4.45
Fraxinus excelsior,144,27.930555555555557
Fraxinus ornus,131,22.174045801526717
Ginkgo biloba,59,32.41016949152542
Gleditsia triacanthos,60,32.73166666666667
Hedera helix,2,21.7
Hibiscus syriacus,2,1.1
Ilex,17,13.6
Ilex aquifolium,19,3.9157894736842107
Jasminum,2,21.7
Juglans,3,70.56666666666666
Juglans nigra,14,19.55
Juglans regia,7,63.17142857142857
Juniperus chinensis,6,21.7
Juniperus drupacea,4,13.725000000000001
Koelreuteria paniculata,14,39.15714285714286
Laburnum anagyroides,1,21.7
Lagerstroemia,1,19.6
Lagerstroemia indica,15,0.8266666666666667
Larix decidua,9,19.72222222222222
Laurus nobilis,6,27.400000000000002
Ligustrum,15,18.759999999999998
Ligustrum japonicum,23,5.039130434782609
Ligustrum lucidum,36,23.177777777777777
Liquidambar styraciflua,141,16.27801418439716
Liriodendron tulipifera,301,11.18172757475083
Lonicera,3,21.7
Maclura pomifera,2,3.1
Magnolia,6,8.516666666666667
Magnolia grandiflora,60,7.041666666666667
Magnolia kobus,1,0.8
Magnolia x soulangeana,13,37.06153846153846
Malus,9,9.777777777777779
Malus floribunda,19,7.505263157894737
Malus sylvestris,2,9.85
Metasequoia glyptostroboides,8,30.625
Morus,4,24.175
Morus alba,76,33.07236842105263
Morus nigra,92,36.09565217391304
Nerium oleander,7,3.0285714285714285
Olea europaea,13,16.092307692307692
Osmanthus fragrans,3,21.7
Ostrya carpinifolia,211,13.715165876777252
Parrotia persica,272,6.696323529411765
Parthenocissus,13,21.699999999999996
Paulownia tomentosa,23,53.76521739130435
Philadelphus,3,21.7
Philadelphus pubescens,2,21.7
Photinia serrulata,5,2.6399999999999997
Photinia x fraseri,10,11.45
Picea,5,28.68
Picea abies,130,25.84846153846154
Picea glauca,5,22.32
Picea obovata,4,11.225
Picea pungens,11,14.8
Picea sitchensis,1,7.1
Pinus,4,40.6
Pinus bungeana,1,19.6
Pinus cembra,1,38.5
Pinus coulteri,2,63.6
Pinus halepensis,3,28.3
Pinus nigra,335,23.548955223880597
Pinus pinaster,3,17.833333333333332
Pinus strobus,24,37.141666666666666
Pinus sylvestris,30,17.689999999999998
Pinus wallichiana,10,48.18
Pittosporum tobira,3,3.1
Platanus,27,173.0
Platanus occidentalis,20,117.05499999999999
Platanus orientalis,22,132.68636363636364
Platanus x acerifolia 'Bloodgood',220,49.92181818181818
Platanus x hispanica,502,102.36274900398406
Populus,6,49.81666666666666
Populus alba,22,84.41363636363636
Populus nigra,110,48.51272727272727
Populus tremula,2,86.75
Prunus,38,11.586842105263159
Prunus amygdalus,1,0.8
Prunus avium,208,14.20528846153846
Prunus cerasifera,350,13.300571428571429
Prunus domestica,4,7.1
Prunus dulcis,21,4.752380952380952
Prunus laurocerasus,7,94.82857142857142
Prunus lusitanica,1,3.1
Prunus mahaleb,11,50.3
Prunus padus,6,31.95
Prunus serrulata,20,14.520000000000001
Pseudotsuga menziesii,31,27.48709677419355
Pterocarya,6,32.15
Pterocarya rhoifolia,13,38.64615384615385
Punica granatum,2,21.7
Pyrus,12,9.033333333333333
Pyrus calleryana,167,21.663473053892215
Pyrus communis,21,5.666666666666667
Quercus,19,21.773684210526316
Quercus cerris,5,1.2
Quercus ilex,26,18.2
Quercus petraea,38,31.544736842105266
Quercus pubescens,67,33.9089552238806
Quercus robur,272,16.781617647058823
Quercus rubra,148,23.429054054054053
Rhododendron obtusum,3,21.7
Rhus typhina,1,19.6
Robinia pseudoacacia,269,32.61561338289963
Salix,7,24.25714285714286
Salix alba,2,39.3
Salix babylonica,9,26.144444444444446
Salix magnifica,3,21.7
Salix x sepulcralis v. chrysocoma,2,21.7
Sambucus nigra,17,11.1
Sequoia sempervirens,1,12.6
Sequoiadendron giganteum,3,40.06666666666666
Sophora japonica,376,39.656648936170214
Sorbus,11,6.363636363636363
Sorbus aucuparia,16,5.68125
Sorbus thuringiaca,8,14.2875
Sorbus torminalis,7,17.742857142857144
Spiraea,2,21.7
Spiraea japonica,2,21.7
Syringa vulgaris,1,21.7
Tamarix gallica,1,7.1
Taxodium distichum,12,25.275000000000002
Taxus baccata,47,32.11702127659574
Thuja,9,10.488888888888887
Thuja occidentalis,2,11.350000000000001
Thuja orientalis,36,19.647222222222226
Thuja plicata,2,7.1
Tilia,23,33.93913043478261
Tilia cordata,509,19.849115913555995
Tilia platyphyllos,61,37.47540983606557
Tilia tomentosa,4,7.2250000000000005
Tilia x euchlora,15,26.946666666666665
Tilia x europaea,471,33.69787685774947
Tilia x vulgaris,19,6.231578947368421
Torreya nucifera,1,28.3
Ulmus,51,81.9627450980392
Ulmus glabra,26,57.61923076923077
Ulmus laevis,3,28.8
Ulmus minor,46,62.654347826086955
Ulmus pumila,14,105.07142857142857
Viburnum,2,21.7
Viburnum sieboldii,2,21.7
Wisteria sinensis,4,21.7
Zanthoxylum flavum,1,21.7
Zelkova carpinifolia,5,0.8
