District,CanopyCover,Area,Density,Occurrences
Argentario,11547.7,13199398,0.00087486565675192,454
Bondone,5680.6,36949609,0.00015373910993212,291
Centro Storico Piedicastello,129689.5,8599464,0.015081114357825,2962
Gardolo,27033,8817959,0.0030656754017568,1647
Mattarello,4838.1,16409555,0.00029483432061381,264
Meano,3136.1,15712181,0.00019959673326065,206
Oltrefesina,84402.5,6962104,0.012123131168394,2695
Povo,2535.3,15433274,0.00016427492960988,189
Ravina Romagnano,6249.1,16687779,0.00037447164179248,319
S Giuseppe S Chiara,92457.8,3073349,0.030083729508103,3022
Sardagna,389.2,8663138,0.000044925984094909,38
Villazzano,4962.6,7342864,0.00067583983579159,415
