year,month,min,max,mean
1993,0,-9.0,12.0,1.5
1993,1,-6.0,11.0,2.5
1993,2,-5.0,27.0,11.0
1993,3,-1.0,30.0,14.5
1993,4,6.0,34.0,20.0
1993,5,10.0,32.0,21.0
1993,6,8.0,32.0,20.0
1993,7,7.0,37.0,22.0
1993,8,6.0,29.0,17.5
1993,9,-1.0,21.0,10.0
1993,10,-7.0,16.0,4.5
1993,11,-11.0,10.0,-0.5
1997,0,-6.0,8.0,1.0
1997,1,-7.0,14.0,3.5
1997,2,-2.0,25.0,11.5
1997,3,-1.0,26.0,12.5
1997,4,5.0,32.0,18.5
1997,5,8.0,32.0,20.0
1997,6,9.0,33.0,21.0
1997,7,10.0,35.0,22.5
1997,8,6.0,33.0,19.5
1997,9,-5.0,26.0,10.5
1997,10,-3.0,16.0,6.5
1997,11,-7.0,13.0,3.0
2001,0,-8.0,9.0,0.5
2001,1,-6.0,14.0,4.0
2001,2,-1.0,22.0,10.5
2001,3,0.0,24.0,12.0
2001,4,7.0,34.0,20.5
2001,5,6.0,34.0,20.0
2001,6,12.0,36.0,24.0
2001,7,10.0,34.0,22.0
2001,8,3.0,28.0,15.5
2001,9,5.0,22.0,13.5
2001,10,-6.0,17.0,5.5
2001,11,-11.0,13.0,1.0
2005,0,-6.7,11.0,2.15
2005,1,-6.8,12.2,2.7
2005,2,-8.2,26.2,9.0
2005,3,2.9,27.3,15.1
2005,4,7.4,32.8,20.1
2005,5,10.0,37.3,23.65
2005,6,12.8,35.6,24.2
2005,7,12.2,33.2,22.7
2005,8,9.6,32.5,21.05
2005,9,2.9,19.6,11.25
2005,10,-4.8,14.6,4.9
2005,11,-9.6,8.8,-0.4
2009,0,-8.9,10.2,0.65
2009,1,-4.8,16.7,5.95
2009,2,-0.6,19.2,9.3
2009,3,6.0,25.2,15.6
2009,4,9.5,33.6,21.55
2009,5,10.0,31.7,20.85
2009,6,13.1,33.9,23.5
2009,7,13.4,33.5,23.45
2009,8,10.0,30.1,20.05
2009,9,0.6,24.7,12.65
2009,10,-1.4,14.0,6.3
2009,11,-9.5,12.2,1.35
2013,0,-3.3,17.7,7.2
2013,1,-3.4,12.6,4.6
2013,2,-0.8,16.0,7.6
2013,3,3.5,26.8,15.15
2013,4,5.1,26.5,15.8
2013,5,10.1,33.4,21.75
2013,6,13.7,35.8,24.75
2013,7,13.3,36.0,24.65
2013,8,9.3,29.5,19.4
2013,9,5.2,20.1,12.65
2013,10,-4.4,17.6,6.6
2013,11,-3.5,15.5,6.0
2017,0,-7.7,9.3,0.8
2017,1,-0.8,13.8,6.5
2017,2,1.2,24.0,12.6
2017,3,3.6,24.0,13.8
2017,4,5.8,31.2,18.5
2017,5,9.8,33.7,21.75
2017,6,12.2,33.7,22.95
2017,7,13.4,35.5,24.45
2017,8,7.1,25.9,16.5
2017,9,2.4,21.3,11.85
2017,10,-3.5,13.8,5.15
2017,11,-6.7,10.1,1.7
2021,0,-9.4,8.2,-0.6
2021,1,-4.4,18.9,7.25
2021,2,-1.5,25.3,11.9
2021,3,-0.7,25.6,12.45
2021,4,7.0,26.6,16.8
2021,5,13.1,33.6,23.35
2021,6,14.4,33.5,23.95
2021,7,9.6,32.9,21.25
2021,8,11.1,29.7,20.4
2021,9,1.7,22.0,11.85
2021,10,-2.3,14.1,5.9
2021,11,-5.7,11.5,2.9
